"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","extracellular matrix structural constituent","GO:0005201","true","0.000014247587172182093","4.846258677166426","169","484","19","20208","MUC5AC,TGFBI,PXDN,THSD4,FBN1,MGP,COL21A1,SPOCK1,EFEMP1,COL9A3,SRPX2,TNXB,VWF,FBLN2,COL17A1,MATN3,COL5A2,COL4A3,ANOS1"
"GO:MF","calcium ion binding","GO:0005509","true","0.0010464123891981588","2.980297127077393","718","484","39","20208","EFCAB9,SELP,LPCAT1,S100A6,FBN1,EHD3,MGP,RASGRP1,PCDHB5,LRP4,SHH,CPS1,PLCB4,SCIN,CAPN9,PCDHB13,SPOCK1,CRACR2A,CALML5,PLCH2,EFEMP1,FAT4,CLSTN2,HEG1,PCDHGA5,PROS1,PCDHGA4,TPO,S100A4,CALML3,DHH,CAPNS2,FBLN2,MATN3,PCDHGB2,DOC2B,SLIT1,DSG1,PCDHA9"
"GO:MF","DNA-binding transcription activator activity, RNA polymerase II-specific","GO:0001228","true","0.0011292397478802573","2.9472138436129205","431","484","28","20208","NFATC2,VEZF1,NR5A2,MAFB,FOXO1,SIX2,KLF4,FOSB,BCL11B,CREB3L1,CREBRF,ONECUT1,FOXC1,RUNX2,BARHL1,SOX30,FOS,EGR1,GRHL3,DLX3,TFCP2L1,HLF,HOXB1,TBX5,IRF4,HNF4A,GLI2,ESRRG"
"GO:MF","DNA-binding transcription activator activity","GO:0001216","false","0.001474519845328722","2.831349377972301","437","484","28","20208","NFATC2,VEZF1,NR5A2,MAFB,FOXO1,SIX2,KLF4,FOSB,BCL11B,CREB3L1,CREBRF,ONECUT1,FOXC1,RUNX2,BARHL1,SOX30,FOS,EGR1,GRHL3,DLX3,TFCP2L1,HLF,HOXB1,TBX5,IRF4,HNF4A,GLI2,ESRRG"
"GO:MF","DNA-binding transcription factor activity, RNA polymerase II-specific","GO:0000981","false","0.010025705632795968","1.9988850509626566","1309","484","56","20208","OLIG1,PDX1,TWIST1,ZNF215,KLF3,JDP2,FOXP4,NFATC2,VEZF1,SPDEF,TCF7L1,NR5A2,SAMD11,MAFB,ZBTB20,FOXO1,ZBED6,SIX2,HIVEP3,KLF4,FOSB,BCL11B,CREB3L1,NFATC4,CREBRF,ONECUT1,FOXC1,ZNF460,ZBED3,RUNX2,LOC100505555,BARHL1,SOX30,NKX1-2,FOS,NPAS1,EGR1,NR1D1,ISL2,GRHL3,ZNF354C,ZNF792,ZNF699,DLX3,TFCP2L1,HLF,ZNF626,HOXB1,TBX5,ZNF264,IRF4,HNF4A,GLI2,HOXB13,TBX4,ESRRG"
"GO:MF","molecular function regulator activity","GO:0098772","true","0.016932819252553983","1.7712707274259882","2266","484","84","20208","MSMP,ULBP1,LRCOL1,RCAN2,CRISP1,F2RL2,RIMS1,EFCAB9,ASIP,CALCB,AFAP1L2,CAV1,PSCA,PARVA,RAB27B,IGFBP5,CCNG1,ARHGAP36,TRIB3,SEMA3C,PXDN,INHBB,FBN1,CITED2,DKK1,RASGRP1,NET1,STC2,SHH,DOCK11,DNMBP,IRS2,PSD3,BCAR3,SPOCK1,ITIH6,BMP7,EGFR,SCN1B,AREG,RIN2,THG1L,ADM2,CD109,CALML5,SH3PXD2A,GDF15,EFEMP1,SEMA4G,TIAM1,ERRFI1,AHSG,GAST,PREX2,DEPTOR,SEMA5A,ARHGAP31,KCNG1,SPRED1,PROS1,SH3RF2,S100A4,ABCC9,FGF13,ARHGAP42,KCNMB4,BIRC7,SPRY2,TMC7,COL4A3,NUPR1,SRGAP3,FAM3D,BMP6,CACNG6,STARD8,CACNA1S,PDGFC,PIK3R5,ANOS1,ARHGDIB,INHBE,WFDC13,CCNB3"
"GO:MF","DNA-binding transcription factor activity","GO:0003700","false","0.03045856802980559","1.5162905183135773","1395","484","57","20208","OLIG1,PDX1,TWIST1,ZNF215,KLF3,JDP2,FOXP4,NFATC2,VEZF1,SPDEF,TCF7L1,NR5A2,SAMD11,MAFB,ZBTB20,FOXO1,ZBED6,SIX2,HIVEP3,KLF4,FOSB,BCL11B,CREB3L1,NFATC4,CREBRF,ONECUT1,FOXC1,ZNF460,ZBED3,RUNX2,LOC100505555,BARHL1,SOX30,NKX1-2,FOS,NPAS1,EGR1,NR1D1,ISL2,GRHL3,ZNF354C,ZNF792,ZNF699,DLX3,TFCP2L1,HLF,ZNF532,ZNF626,HOXB1,TBX5,ZNF264,IRF4,HNF4A,GLI2,HOXB13,TBX4,ESRRG"
"GO:MF","voltage-gated monoatomic ion channel activity","GO:0005244","true","0.04255829992709803","1.3710157290924023","173","484","14","20208","KCNA3,KCNK10,CACNA1F,KCNK5,SCN1A,KCNG1,ABCC9,CALHM3,KCNMB4,ANO1,CACNG6,CACNA1S,KCNH8,CACNA1G"
"GO:BP","developmental process","GO:0032502","true","3.829716059384839e-16","15.416833424050587","6535","462","236","20972","RIPK3,SLITRK5,TMPRSS11F,ST8SIA2,CCDC182,OLIG1,KCTD19,RIMS1,G6PC1,GABRA3,EFCAB9,PDX1,IVL,TWIST1,CSRP3,SLC22A16,CCN2,SLC7A11,DDIT4,CAV1,LDLRAD4,ZMYND8,PARVA,IGFBP5,ANTXR1,TGFBI,KLF3,KAZALD1,EZH2,JDP2,NAV2,ATXN1,TRIB3,SEMA3C,LPCAT1,SOCS2,ITGA6,GREB1L,PXDN,S100A6,PHGDH,CXCR4,CHAC1,PHLDB1,INHBB,NEDD9,ALCAM,FBN1,BCAS1,SLC2A10,NFATC2,CAV2,CITED2,FREM2,MGP,DKK1,ZFP36L2,VEZF1,SPDEF,ATP2C2,FHL1,RASGRP1,UGDH,PCDHB5,LRP4,PLEKHM3,STC2,NR5A2,SAMD11,MAFB,SHH,KRT81,FOXO1,SASH1,ZBED6,CEACAM5,DOCK11,SIX2,HIVEP3,CPS1,ABCG1,UNC5B,DNMBP,SCIN,ANKS6,MRC2,SPATA46,IRS2,PCDHB13,KRT83,BCAR3,PTPN14,SPOCK1,BMP7,KLF4,EGFR,SCN1B,SMIM14,BCL11B,AREG,MAP2K6,FERMT1,CRACR2A,CREB3L1,RIN2,ABLIM1,NFATC4,ADM2,CD109,CALML5,KIF13B,IL4R,SH3PXD2A,GCNT1,PKP1,GDF15,LFNG,EFEMP1,FAT4,SEMA4G,TIAM1,SLC26A2,PMP22,ONECUT1,FOXC1,ACTA2,CLSTN2,ZBED3,RUNX2,ERRFI1,AMER2,AHSG,MYBPH,BARHL1,PREX2,CDC42EP5,HEG1,SEMA5A,SOX30,AQP2,NKX1-2,SCN1A,KRT16,ITM2C,KIF26B,FOS,DLG2,SPATA9,KRT6A,HPN,SPRED1,PHOSPHO1,NPAS1,P2RY1,NPR1,PCDHGA5,TDRD9,KIF26A,NEURL1,WWC2,GPR173,MID1,DUSP1,PCDHGA4,EGR1,SRPX2,NR1D1,ISL2,POMK,GRHL3,PAQR5,F2R,SLC2A12,ZNF354C,TPO,XKR6,TNXB,PLXNA2,S100A4,GAS2,XKR7,DHH,MB,ABCC9,FGF13,OXTR,ATP8A2,COL17A1,APOLD1,SYNPO2L,BIRC7,SPRY2,MATN3,DLX3,AXIN2,TFCP2L1,B4GALNT2,COL5A2,COL4A3,NUPR1,HLF,SLC44A4,LRMDA,RASSF2,FAM3D,PCDHGB2,P2RX7,VANGL2,HOXB1,AMTN,CHRM1,TBX5,LY6D,IGF2BP1,IRF4,BMP6,INPP5D,KRT23,ANO1,SLIT1,CACNA1S,HNF4A,ADGRG2,PDGFC,GLI2,CHRD,CACNA1G,ANOS1,HOXB13,MYBPC2,ARHGDIB,GRXCR2,SPMAP2,TBX4,PCDHA9,CDC42EP3"
"GO:BP","anatomical structure development","GO:0048856","false","1.299929996797517e-15","14.886080034480191","5948","462","220","20972","RIPK3,SLITRK5,TMPRSS11F,ST8SIA2,CCDC182,OLIG1,RIMS1,GABRA3,EFCAB9,PDX1,IVL,TWIST1,CSRP3,CCN2,SLC7A11,DDIT4,CAV1,LDLRAD4,ZMYND8,PARVA,IGFBP5,ANTXR1,TGFBI,KLF3,EZH2,NAV2,ATXN1,SEMA3C,LPCAT1,SOCS2,ITGA6,GREB1L,PXDN,S100A6,PHGDH,CXCR4,CHAC1,PHLDB1,INHBB,NEDD9,ALCAM,FBN1,BCAS1,SLC2A10,NFATC2,CAV2,CITED2,FREM2,MGP,DKK1,ZFP36L2,VEZF1,SPDEF,ATP2C2,FHL1,RASGRP1,UGDH,PCDHB5,LRP4,PLEKHM3,STC2,NR5A2,SAMD11,MAFB,SHH,KRT81,FOXO1,SASH1,ZBED6,CEACAM5,DOCK11,SIX2,HIVEP3,CPS1,UNC5B,DNMBP,SCIN,ANKS6,IRS2,PCDHB13,KRT83,BCAR3,PTPN14,SPOCK1,BMP7,KLF4,EGFR,SCN1B,SMIM14,BCL11B,AREG,MAP2K6,FERMT1,CRACR2A,CREB3L1,RIN2,ABLIM1,NFATC4,ADM2,CD109,CALML5,KIF13B,IL4R,SH3PXD2A,GCNT1,PKP1,GDF15,LFNG,EFEMP1,FAT4,SEMA4G,TIAM1,SLC26A2,PMP22,ONECUT1,FOXC1,ACTA2,CLSTN2,ZBED3,RUNX2,ERRFI1,AMER2,AHSG,MYBPH,BARHL1,PREX2,CDC42EP5,HEG1,SEMA5A,SOX30,AQP2,SCN1A,KRT16,ITM2C,KIF26B,FOS,DLG2,KRT6A,HPN,SPRED1,PHOSPHO1,NPAS1,P2RY1,NPR1,PCDHGA5,KIF26A,NEURL1,GPR173,MID1,DUSP1,PCDHGA4,EGR1,SRPX2,NR1D1,ISL2,POMK,GRHL3,PAQR5,F2R,SLC2A12,ZNF354C,TPO,XKR6,TNXB,PLXNA2,S100A4,GAS2,XKR7,DHH,MB,ABCC9,FGF13,OXTR,ATP8A2,COL17A1,APOLD1,SYNPO2L,BIRC7,SPRY2,MATN3,DLX3,AXIN2,TFCP2L1,B4GALNT2,COL5A2,COL4A3,NUPR1,HLF,SLC44A4,RASSF2,FAM3D,PCDHGB2,P2RX7,VANGL2,HOXB1,AMTN,CHRM1,TBX5,LY6D,IGF2BP1,IRF4,BMP6,INPP5D,KRT23,ANO1,SLIT1,CACNA1S,HNF4A,PDGFC,GLI2,CHRD,CACNA1G,ANOS1,HOXB13,MYBPC2,ARHGDIB,GRXCR2,TBX4,PCDHA9,CDC42EP3"
