"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","signaling receptor binding","GO:0005102","true","5.987901119608707e-9","8.22272537993267","1346","548","81","20208","S100A8,CD36,CCN5,S100A9,C3,ASXL3,BAMBI,S100A7,TAP2,CLU,APOE,MICB,STAT1,ISG15,DNAJA1,ECM1,APOL2,CHN1,CXCL16,BMP5,TNFSF14,CNIH2,SH2B2,GRB14,ITGB6,CCL22,PLSCR1,CD74,INHA,HLA-A,BTN3A2,TAP1,EPHB2,GAL,BDKRB2,IFNL3,HLA-C,CCL5,IGF2,BTN3A3,BTN3A1,FLRT3,VTCN1,HLA-B,GNAZ,ITGA4,GDNF,IFNL1,SLIT2,HLA-F,FBLN5,CDH5,CXCL8,IL7,HLA-DRA,CCDC88A,PLA2G1B,CCL20,RARRES2,S100A12,TNF,DNER,WNT10B,IFNL2,GNAL,IL16,SAA1,NRTN,SHC4,ADRA2A,SHC3,ADAM23,LTB,OPRD1,GPNMB,UCHL1,ICOSLG,CXCL11,IL23A,IFNB1,AGTR1"
"GO:MF","protein binding","GO:0005515","false","2.6866795759064495e-8","7.570784126165886","15082","548","471","20208","CGA,S100A8,CD36,CCN5,LCN2,S100A9,C3,ASCL1,ACE2,HDAC9,ADCY5,GLRA3,CFB,UNC5C,IFI6,IFI27,SYNPO2,ASXL3,KCNJ3,TSPAN5,NCAM2,BAMBI,IFIT1,TRIB2,KYNU,TSKU,KMO,MAPK8IP2,KCNK2,NXPE3,MORN2,GJA1,S100A7,HSPB8,LIN7A,OAS3,CDC25A,ENTPD8,P2RX2,CASP10,IRF9,DDX60,L1CAM,ITPK1,SLC5A8,TAP2,FLACC1,UBE2QL1,SFXN5,PLIN5,CLU,MLLT11,SLC1A1,WIPF1,IFI30,APOE,MICB,CTNND2,NFKBIZ,IRF7,G6PD,LHX1,MAOB,STAT1,ISG15,CFAP91,DNAJA1,STMN3,SP110,PARP9,DACH1,TENT5A,STRA6,PIR,DTX3L,OAS1,HS6ST1,NAGK,RIGI,GATA4,LGALS3BP,EIF5,GBP2,CAMK2B,ECM1,APOD,BMERB1,APOL1,APOL2,PLXDC2,RCOR2,PARP14,TMEM45A,RNF114,TNFAIP3,MALRD1,IER3,IFIT2,PHF21B,KCNE4,USP18,TMEM229B,RELT,SAMD9,PARP10,EHD4,HERC5,EHF,HELZ2,SYT10,IRF1,GABPB1,IFI35,GLIS3,DCLK1,LAP3,SHFL,EIF2AK2,MTCL1,CHN1,IFIH1,ENO2,CXCL16,BMP5,SHISA5,FAM184A,RGS16,IFIT5,TYMP,TRPV3,GBP3,FBXW10B,ACKR3,LAMB1,UGT1A7,GEM,OTULINL,ABCD1,IFITM3,TNFSF14,SYT12,IFITM1,RDH11,PSME1,HES4,GPM6A,CNIH2,UBE2L6,BDKRB1,ADGRF4,SH2B2,BST2,PADI2,BCL2,GRB14,ITGB6,TUBB2A,BSCL2,B2M,CCL22,PLSCR1,PFKFB4,SLPI,OAS2,SLC2A6,CD74,REC8,SDK2,OPTN,RASGEF1B,PSME2,INHA,TRIM14,UGT1A6,HLA-A,DHRS13,PPM1K,PSMB9,BTN3A2,ELOVL3,TDRD7,TAP1,FOXO6,PPP2R5B,SAMHD1,GARIN1A,STON2,OGFR,TMEM62,XAF1,GRIN2C,GDPD5,EPHB2,PSMB8,LMCD1,CENPK,PALMD,ZC3H12A,BATF2,OASL,GAL,BDKRB2,SP100,ARHGAP26,IFIT3,H4C5,NAT1,SP140,MX2,ARID5A,GNB4,OTUD7A,MDK,MX1,IFNL3,CAB39L,HLA-C,ANGPTL4,NKX3-1,MAP3K8,PHLDB2,CLSPN,CCL5,CTSS,PML,IFI44,PATL2,FRMPD1,ARHGAP24,NELL2,IGF2,GBP1,B4GAT1,SYCE2,ATP10D,CDH18,BTG3,SLC30A4,EFCAB12,PSMB10,BAG2,S100A7A,BTN3A3,NUAK2,NAT8,C15ORF48,ADAM19,EPHA3,TTLL7,LGALS9,APOL6,LRTM2,BTN3A1,DAPP1,FLRT3,CDC42EP2,VTCN1,FAM169A,DMD,PGBD1,ADGRB2,STOX1,CSPG5,ABCG2,RUFY4,CDH12,CALCRL,MPP2,CIMAP1B,KCNH1,MPP3,SAA2,NLRC5,SOWAHD,HLA-B,PDZK1IP1,GNAZ,NPL,DPF1,GSTA1,H2AC12,TUBA4A,MAST1,DENND2B,ITGA4,EMX1,CPLX3,ITPKA,PLAAT4,UBA7,TAMALIN,GDNF,TRIM31,MC4R,DIO2,RAB19,IFNL1,CSTA,ZMYND15,LHX2,SLIT2,HLA-F,FBLN5,TSPAN2,ETV7,TRIM21,MAPK12,MYL7,CD274,RHOV,CDH5,SPATA17,KLF2,TIGD3,SIRT4,GBP4,ELOVL4,TMEM238L,BRICD5,DHX58,FSD1L,CXCL8,PLEKHA4,MAPK11,COL4A6,ODAD3,KRTAP5-1,IL11RA,F3,UTP14C,LUM,HLA-DPA1,HAPSTR2,IL7,PHF11,NCCRP1,HLA-DRA,CCDC88A,NFE2,CYP1A1,CDH7,PRDM9,BAALC,TUBB2B,CEACAM7,ELF5,GPR119,PLA2G1B,ZNF835,PGLYRP4,IL32,CCL20,RARRES2,NPIPB3,S100A12,TRIM55,KHDRBS3,AKR1C1,UBQLNL,MAPK4,NMI,CCM2L,ARHGEF38,HLA-DPB1,TMEM89,SYP,PRPH2,PROZ,TNF,DNER,WNT10B,IFNL2,SNPH,GNAL,CXCR5,IL16,INSYN1,GIMAP2,SLC28A3,SECTM1,GPC3,CACNB2,SMOC2,FOXI1,CERKL,STX11,SAA1,MARK1,NRTN,SHC4,IL15RA,CP,PLCB2,ANKRD22,SPSB4,CEACAM1,POPDC3,P2RY6,PEG10,RSAD2,ADRA2A,SHC3,MYO3B,CELF4,ERAP2,ADAM23,DYRK3,ROPN1B,SLC51A,RBM11,APOL3,HIGD1C,CRISP3,AKR1B15,NCAM1,F10,ANKRD29,RASGRF2,LMO3,LTB,SNX22,LRRC17,FOXJ1,MME,PLIN1,P2RX5,PLA2G2F,SIGLEC1,HDX,VSX1,P3H2,TRIM22,OPRD1,USP2,UBD,CYP2C8,KCNK3,TMCC2,GPNMB,SLC4A4,UCHL1,AGXT,PDLIM3,ZNF648,CYP2E1,LOC105369632,GCK,TBXAS1,TMEFF1,AEBP1,AKR1B10,PHACTR3,HEY1,SCHIP1,CDC20B,CRB2,SPON1,MYO7B,SAMD9L,ICOSLG,CXCL11,IL23A,SNAI1,GSTA2,ACTL8,IFNB1,LOC124904942,H1-4,H1-5,CRYBA2,AGTR1"
"GO:MF","TAP binding","GO:0046977","false","0.000001697492263140782","5.770192196477754","7","548","6","20208","TAP2,HLA-A,TAP1,HLA-C,HLA-B,HLA-F"
"GO:MF","receptor ligand activity","GO:0048018","true","0.0000032109146632090265","5.4933712365667615","548","548","41","20208","CGA,C3,CLU,APOE,CXCL16,BMP5,TYMP,TNFSF14,IL17C,CCL22,INHA,GAL,MDK,IFNL3,CCL5,VGF,IGF2,LGALS9,FLRT3,CDC42EP2,CSPG5,GDNF,IFNL1,CD274,CXCL8,IL7,IL32,CCL20,TNF,WNT10B,IFNL2,IL16,SECTM1,NRTN,ENHO,LTB,GPNMB,ICOSLG,CXCL11,IL23A,IFNB1"
"GO:MF","signaling receptor activator activity","GO:0030546","false","0.000004863416023855387","5.313058578645512","556","548","41","20208","CGA,C3,CLU,APOE,CXCL16,BMP5,TYMP,TNFSF14,IL17C,CCL22,INHA,GAL,MDK,IFNL3,CCL5,VGF,IGF2,LGALS9,FLRT3,CDC42EP2,CSPG5,GDNF,IFNL1,CD274,CXCL8,IL7,IL32,CCL20,TNF,WNT10B,IFNL2,IL16,SECTM1,NRTN,ENHO,LTB,GPNMB,ICOSLG,CXCL11,IL23A,IFNB1"
"GO:MF","peptide antigen binding","GO:0042605","true","0.0000051143424480904065","5.291210195680674","41","548","11","20208","TAP2,B2M,HLA-A,TAP1,HLA-C,HLA-B,HLA-F,HLA-DPA1,HLA-DRA,HLA-DPB1,HLA-DOB"
"GO:MF","signaling receptor regulator activity","GO:0030545","false","0.000030968526876714836","4.509079452845669","594","548","41","20208","CGA,C3,CLU,APOE,CXCL16,BMP5,TYMP,TNFSF14,IL17C,CCL22,INHA,GAL,MDK,IFNL3,CCL5,VGF,IGF2,LGALS9,FLRT3,CDC42EP2,CSPG5,GDNF,IFNL1,CD274,CXCL8,IL7,IL32,CCL20,TNF,WNT10B,IFNL2,IL16,SECTM1,NRTN,ENHO,LTB,GPNMB,ICOSLG,CXCL11,IL23A,IFNB1"
"GO:MF","peptide binding","GO:0042277","false","0.0003636145557152707","3.439358740025718","237","548","22","20208","CD36,MAPK8IP2,TAP2,CLU,APOE,BDKRB1,B2M,CD74,HLA-A,TAP1,EPHB2,HLA-C,HLA-B,MC4R,HLA-F,HLA-DPA1,HLA-DRA,HLA-DPB1,ERAP2,MME,OPRD1,HLA-DOB"
"GO:MF","cytokine activity","GO:0005125","false","0.00041961421798583236","3.377149804825053","239","548","22","20208","CXCL16,BMP5,TNFSF14,IL17C,CCL22,INHA,IFNL3,CCL5,IFNL1,CXCL8,IL7,IL32,CCL20,TNF,WNT10B,IFNL2,IL16,SECTM1,LTB,CXCL11,IL23A,IFNB1"
"GO:MF","molecular function activator activity","GO:0140677","false","0.01122434518613255","1.9498389857673464","1209","548","58","20208","CGA,C3,ACE2,CLU,APOE,DNAJA1,EIF5,CHN1,CXCL16,BMP5,RGS16,TYMP,TNFSF14,IL17C,PSME1,ITGB6,CCL22,PSME2,INHA,PPP2R5B,GAL,ARHGAP26,MDK,IFNL3,CAB39L,NKX3-1,CCL5,VGF,ARHGAP24,IGF2,LGALS9,FLRT3,CDC42EP2,CSPG5,NLRC5,GDNF,IFNL1,MAPK12,CD274,CXCL8,IL7,CCDC88A,IL32,CCL20,TNF,WNT10B,IFNL2,IL16,SECTM1,NRTN,ENHO,LTB,GPNMB,CDC20B,ICOSLG,CXCL11,IL23A,IFNB1"
"GO:MF","2'-5'-oligoadenylate synthetase activity","GO:0001730","true","0.012715411099788897","1.8956695941604194","3","548","3","20208","OAS3,OAS1,OAS2"
