"logFC","AveExpr","t","P.Value","adj.P.Val","B","GeneSymbol","GeneName","significance","negLog10FDR"
8.009975,0.0952833333333334,164.486169346913,3.10028128340734e-10,9.42299493278827e-06,11.3815191053618,"CERS6-AS1","CERS6 antisense RNA 1","Up",5.02581104242345
8.972475,2.32185,86.7815203262071,6.78097512937326e-09,7.22598369106136e-05,10.4918651396438,"CGA","glycoprotein hormones, alpha polypeptide","Up",4.14110302296313
3.376325,4.50523333333333,72.1646816112792,1.65060986279717e-08,7.22598369106136e-05,10.0530526861341,"S100A8","S100 calcium binding protein A8","Up",4.14110302296313
-4.2561,-3.826,-65.8745608198184,2.56234861807454e-08,7.22598369106136e-05,9.80025462864293,"DDX11L1","DEAD/H-box helicase 11 like 1 (pseudogene)","Down",4.14110302296313
4.639925,3.57188333333333,64.2972708230979,2.87996871346492e-08,7.22598369106136e-05,9.72902293780324,"CD36","CD36 molecule","Up",4.14110302296313
2.963525,5.28033333333333,64.1260768892277,2.91722910757818e-08,7.22598369106136e-05,9.72108284088313,"CCN5","cellular communication network factor 5","Up",4.14110302296313
3.249725,6.85438333333333,59.4443929777287,4.2043854899194e-08,7.22598369106136e-05,9.48670924969425,"LCN2","lipocalin 2","Up",4.14110302296313
-2.38105,-4.45101666666667,-55.1756306529104,6.02152414292502e-08,7.22598369106136e-05,9.24027597314746,"GJA9","gap junction protein alpha 9","Down",4.14110302296313
2.679,6.535,54.5636724026626,6.35407361656066e-08,7.22598369106136e-05,9.20204349388115,"S100A9","S100 calcium binding protein A9","Up",4.14110302296313
2.327475,-3.69305,53.2993489912764,7.11416201407936e-08,7.22598369106136e-05,9.12054582572759,"DIAPH1-AS1","DIAPH1 antisense RNA 1","Up",4.14110302296313
-2.25755,-4.49218333333333,-52.0086402804231,8.00629220372128e-08,7.22598369106136e-05,9.03370189109972,"LINC02338","long intergenic non-protein coding RNA 2338","Down",4.14110302296313
-2.25755,-4.49218333333333,-52.0086402804231,8.00629220372128e-08,7.22598369106136e-05,9.03370189109972,"LOC101928279","uncharacterized LOC101928279","Down",4.14110302296313
-2.25755,-4.49218333333333,-52.0086402804231,8.00629220372128e-08,7.22598369106136e-05,9.03370189109972,"LINC02298","long intergenic non-protein coding RNA 2298","Down",4.14110302296313
-2.25755,-4.49218333333333,-52.0086402804231,8.00629220372128e-08,7.22598369106136e-05,9.03370189109972,"CHAT","choline O-acetyltransferase","Down",4.14110302296313
-2.25755,-4.49218333333333,-52.0086402804231,8.00629220372128e-08,7.22598369106136e-05,9.03370189109972,"RIPK3","receptor interacting serine/threonine kinase 3","Down",4.14110302296313
-2.25755,-4.49218333333333,-52.0086402804231,8.00629220372128e-08,7.22598369106136e-05,9.03370189109972,"LOC124901282","uncharacterized LOC124901282","Down",4.14110302296313
-2.25755,-4.49218333333333,-52.0086402804231,8.00629220372128e-08,7.22598369106136e-05,9.03370189109972,"FYB2","FYN binding protein 2","Down",4.14110302296313
-2.25755,-4.49218333333333,-52.0086402804231,8.00629220372128e-08,7.22598369106136e-05,9.03370189109972,"SLITRK5","SLIT and NTRK like family member 5","Down",4.14110302296313
-2.25755,-4.49218333333333,-52.0086402804231,8.00629220372128e-08,7.22598369106136e-05,9.03370189109972,"GPR20","G protein-coupled receptor 20","Down",4.14110302296313
-2.25755,-4.49218333333333,-52.0086402804231,8.00629220372128e-08,7.22598369106136e-05,9.03370189109972,"TMPRSS11F","transmembrane serine protease 11F","Down",4.14110302296313
-2.25755,-4.49218333333333,-52.0086402804231,8.00629220372128e-08,7.22598369106136e-05,9.03370189109972,"TEX13B","testis expressed 13B","Down",4.14110302296313
-2.25755,-4.49218333333333,-52.0086402804231,8.00629220372128e-08,7.22598369106136e-05,9.03370189109972,"LOC642943","SPATA31 subfamily A pseudogene","Down",4.14110302296313
3.048975,6.37205,51.9979295487075,8.01424278230952e-08,7.22598369106136e-05,9.03296525646063,"C3","complement C3","Up",4.14110302296313
3.190975,4.71256666666667,51.2896001337055,8.56185422466986e-08,7.22598369106136e-05,8.98364902854802,"ASCL1","achaete-scute family bHLH transcription factor 1","Up",4.14110302296313
7.53385,-0.222133333333333,49.7554074892637,9.9110782281058e-08,7.22598369106136e-05,8.87264206178837,"RCC2-AS1","RCC2 antisense RNA 1","Up",4.14110302296313
2.84865,-3.3456,49.3390410408387,1.0320620048931e-07,7.22598369106136e-05,8.8414875277141,"SNORA33","small nucleolar RNA, H/ACA box 33","Up",4.14110302296313
-7.7044,-2.67656666666667,-49.283559259684,1.03767218544418e-07,7.22598369106136e-05,8.83730199191654,"THRIL","TNF and HNRNPL related immunoregulatory long non-coding RNA","Down",4.14110302296313
2.394625,6.72126666666667,48.461033867399,1.12532395192452e-07,7.22598369106136e-05,8.77429137178114,"SLC39A8","solute carrier family 39 member 8","Up",4.14110302296313
-4.3261,-3.80266666666667,-48.415687968744,1.13041103214481e-07,7.22598369106136e-05,8.77076458894804,"MSMP","microseminoprotein, prostate associated","Down",4.14110302296313
-2.2891,-4.48166666666667,-46.7026879253284,1.34463548731051e-07,7.22598369106136e-05,8.63331981897911,"ST8SIA2","ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 2","Down",4.14110302296313
3.845325,2.4269,46.6265088516196,1.35525159519115e-07,7.22598369106136e-05,8.62701138966355,"ACE2","angiotensin converting enzyme 2","Up",4.14110302296313
3.748675,1.01231666666667,46.370711102814,1.39164668899689e-07,7.22598369106136e-05,8.60570265140692,"HDAC9","histone deacetylase 9","Up",4.14110302296313
